Component,Quantity,Unit Price (USD),Product URL
2A polyfuse 1206,1,2,https://www.aliexpress.com/item/1005005750933997.html?spm=a2g0o.productlist.main.6.30172RE02RE0Ts&algo_pvid=5ca9fad8-5e36-4359-a6cc-91ce3a41a8d3&algo_exp_id=5ca9fad8-5e36-4359-a6cc-91ce3a41a8d3-5&pdp_ext_f=%7B%22order%22%3A%22232%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.87%211.58%21%21%2119.19%2110.54%21%40214134eb17881544545285616e0fb5%2112000034221443219%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=ZtGeeKRbMEdm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005750933997%7C_p_origin_prod%3A
TL3305A Tactile Switch,2,3,https://www.aliexpress.com/item/1005006049127824.html?spm=a2g0o.productlist.main.11.6e971xKc1xKcMn&aem_p4p_detail=202608302235501244331618615540000031892&algo_pvid=137480a9-103b-4aac-9e90-95b9101966c8&algo_exp_id=137480a9-103b-4aac-9e90-95b9101966c8-13&pdp_ext_f=%7B%22order%22%3A%22366%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.05%211.02%21%21%217.00%216.79%21%402102ef5e17881545501721691e106d%2112000035489554247%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=on0BWJc9AisX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006049127824%7C_p_origin_prod%3A&search_p4p_id=202608302235501244331618615540000031892_4
0805 SMD Resisors,5,10,https://www.aliexpress.com/item/4000095368506.html?spm=a2g0o.productlist.main.1.4beb5b462q5bT4&algo_pvid=b563761e-8e5d-4340-96be-4321093742a9&algo_exp_id=b563761e-8e5d-4340-96be-4321093742a9-0&pdp_ext_f=%7B%22order%22%3A%22341%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.92%211.92%21%21%211.92%211.92%21%400b14ce1917881546948904024e0dfa%2110000000250352630%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=R3eLSOwJxnAt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000095368506%7C_p_origin_prod%3A
0805 SMD Capacitors,6,10,https://www.aliexpress.com/item/1005008651094452.html?spm=a2g0o.productlist.main.1.68a0a2a0XZV8hS&algo_pvid=47fa3539-966a-449b-adda-7b8747eace55&algo_exp_id=47fa3539-966a-449b-adda-7b8747eace55-0&pdp_ext_f=%7B%22order%22%3A%22191%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.77%212.77%21%21%2118.52%2118.52%21%402141397017881547486158300e0f56%2112000046162424391%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=0jGhCAofqSR0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008651094452%7C_p_origin_prod%3A
Electrolytic Capacitor,1,3,https://www.aliexpress.com/item/32910379011.html?spm=a2g0o.productlist.main.3.1f3843f0CnMw2p&algo_pvid=70d13a88-4798-4435-82cb-acf750ccdbb4&algo_exp_id=70d13a88-4798-4435-82cb-acf750ccdbb4-2&pdp_ext_f=%7B%22order%22%3A%221371%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.22%212.22%21%21%212.22%212.22%21%402141396c17881548024431615e1099%2112000027302961982%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=w4WyyqBZ0N1G&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32910379011%7C_p_origin_prod%3A
PCB + shipping,5,20,https://jlcpcb.com
3D Printing,1,21,Printing Legion
Ali Express Shipping,,35,
,,,
Total,,126.94,
